190,'wardjo01',1884,'NY1',143,'NL',2,16,6,8,4,'Y'
191,'wrighha01',1884,'PHI',146,'NL',1,113,39,73,6,'N'
192,'bancrfr99',1884,'PRO',148,'NL',1,114,84,28,1,'N'
193,'curtied99',1884,'ALT',125,'UA',1,25,6,19,10,'N'
194,'hendebi99',1884,'BLU',128,'UA',1,106,58,47,4,'N'
195,'murnati01',1884,'BSU',131,'UA',1,111,58,51,5,'Y'
196,'hengled99',1884,'CHU',133,'UA',1,74,34,39,5,'N'
197,'battijo01',1884,'CHU',133,'UA',2,6,1,5,5,'Y'
198,'ellicjo01',1884,'CHU',133,'UA',3,13,6,6,5,'Y'
199,'olearda01',1884,'CNU',137,'UA',1,35,20,15,3,'Y'
200,'cranesa01',1884,'CNU',137,'UA',2,70,49,21,3,'Y'
201,'wheelha01',1884,'KCU',140,'UA',1,4,0,4,8,'Y'
202,'portema01',1884,'KCU',140,'UA',2,16,3,13,8,'Y'
203,'sullite01',1884,'KCU',140,'UA',3,62,13,46,8,'Y'
204,'loftuto01',1884,'MLU',142,'UA',1,12,8,4,2,'N'
205,'malonfe01',1884,'PHU',147,'UA',1,67,21,46,8,'Y'
206,'sullite01',1884,'SLU',152,'UA',1,31,28,3,1,'N'
207,'dunlafr01',1884,'SLU',152,'UA',2,83,66,16,1,'Y'
208,'thompam99',1884,'SPU',153,'UA',1,9,2,6,9,'N'
209,'simmojo01',1884,'WIL',155,'UA',1,18,2,16,12,'N'
210,'scanlmi99',1884,'WSU',157,'UA',1,114,47,65,7,'N'
211,'barnibi01',1885,'BL2',159,'AA',1,110,41,68,8,'N'
212,'hackech99',1885,'BR3',160,'AA',1,37,15,22,5,'N'
213,'byrnech99',1885,'BR3',160,'AA',2,75,38,37,5,'N'
214,'cayloop99',1885,'CN2',163,'AA',1,112,63,49,2,'N'
215,'hartji99',1885,'LS2',165,'AA',1,112,53,59,6,'N'
216,'giffoji99',1885,'NY4',167,'AA',1,108,44,64,7,'N'
217,'stoveha01',1885,'PH4',168,'AA',1,113,55,57,4,'Y'
218,'phillho99',1885,'PT1',171,'AA',1,111,56,55,3,'N'
219,'comisch01',1885,'SL4',172,'AA',1,112,79,33,1,'Y'
220,'galvipu01',1885,'BFN',158,'NL',1,24,7,17,7,'Y'
221,'chapmja01',1885,'BFN',158,'NL',2,88,31,57,7,'N'
222,'morrijo01',1885,'BSN',161,'NL',1,113,46,66,5,'Y'
223,'ansonca01',1885,'CHN',162,'NL',1,113,87,25,1,'Y'
224,'mortoch01',1885,'DTN',164,'NL',1,38,7,31,6,'Y'
225,'watkibi01',1885,'DTN',164,'NL',2,70,34,36,6,'N'
226,'mutriji99',1885,'NY1',166,'NL',1,112,85,27,2,'N'
227,'wrighha01',1885,'PHI',169,'NL',1,111,56,54,3,'N'
228,'bancrfr99',1885,'PRO',170,'NL',1,110,53,57,4,'N'
229,'dunlafr01',1885,'SL5',173,'NL',1,50,21,29,8,'Y'
230,'mckinal01',1885,'SL5',173,'NL',2,39,6,32,8,'Y'
231,'dunlafr01',1885,'SL5',173,'NL',3,22,9,11,8,'Y'
232,'barnibi01',1886,'BL2',174,'AA',1,139,48,83,8,'Y'
233,'byrnech99',1886,'BR3',175,'AA',1,141,76,61,3,'N'
234,'cayloop99',1886,'CN2',178,'AA',1,141,65,73,5,'N'
235,'hartji99',1886,'LS2',181,'AA',1,138,66,70,4,'N'
236,'giffoji99',1886,'NY4',183,'AA',1,17,5,12,7,'N'
237,'fergubo01',1886,'NY4',183,'AA',2,120,48,70,7,'N'
238,'simmole99',1886,'PH4',184,'AA',1,98,41,55,6,'N'
239,'sharsbi99',1886,'PH4',184,'AA',2,41,22,17,6,'N'
240,'phillho99',1886,'PT1',186,'AA',1,140,80,57,2,'N'
